workerid,condition,stim_present,stimulus,response,correct,rt
S134,1,2000,102,0,0,1467
S134,1,2000,65,0,0,1690
S134,1,2000,78,1,1,1909
S134,1,2000,21,1,1,1865
S134,1,2000,8,0,1,2051
S134,1,2000,54,0,1,2183
S134,1,2000,46,0,1,1748
S134,1,2000,73,0,1,2090
S134,1,2000,11,1,1,2043
S134,1,2000,119,0,1,1854
S134,1,2000,88,1,1,2109
S134,1,2000,1,0,1,1758
S134,1,2000,10,1,1,1944
S134,1,2000,2,0,0,2100
S134,1,2000,109,0,1,1863
S134,1,2000,74,0,0,2144
S134,1,2000,100,0,0,1946
S134,1,2000,56,0,1,2118
S134,1,2000,12,0,0,2085
S134,1,2000,16,0,1,2104
S134,1,2000,49,0,1,2189
S134,1,2000,87,0,0,1851
S134,1,2000,31,0,1,1707
S134,1,2000,17,0,0,1964
S134,1,2000,20,1,1,1986
S134,1,2000,82,1,1,2123
S134,1,2000,66,1,1,1791
S134,1,2000,71,1,1,1683
S134,1,2000,42,0,1,2107
S134,1,2000,36,0,1,1661
S134,1,2000,3,1,0,1909
S134,1,2000,116,0,1,1944
S134,1,2000,69,0,1,1747
S134,1,2000,33,0,1,1671
S134,1,2000,104,0,1,2264
S134,1,2000,105,0,1,1841
S134,1,2000,92,1,1,1741
S134,1,2000,79,0,1,1841
S134,1,2000,70,1,1,2197
S134,1,2000,26,0,0,2039
S134,1,2000,0,1,1,2450
S134,1,2000,77,1,1,1887
S134,1,2000,111,0,1,2513
S134,1,2000,35,1,1,2014
S134,1,2000,90,1,1,2095
S134,1,2000,48,0,1,2689
S134,1,2000,6,1,1,2015
S134,1,2000,86,0,1,2518
S134,1,2000,13,0,0,13
S134,1,2000,67,1,1,1846
S134,1,2000,118,0,1,1613
S134,1,2000,96,1,1,2179
S134,1,2000,60,0,0,2041
S134,1,2000,81,1,1,1955
S134,1,2000,38,1,0,2939
S134,1,2000,85,0,1,2676
S172,1,0,85,1,0,2296
S172,1,0,119,0,1,1126
S172,1,0,31,1,1,928
S172,1,0,6,1,0,1757
S172,1,0,3,1,1,887
S172,1,0,103,1,0,2389
S172,1,0,115,0,1,1530
S172,1,0,71,1,1,1231
S172,1,0,33,0,1,992
S172,1,0,81,0,1,1043
S172,1,0,116,0,1,1060
S172,1,0,90,0,1,1084
S172,1,0,82,1,1,1178
S172,1,0,64,1,1,2524
S172,1,0,96,1,1,2097
S172,1,0,42,1,1,1012
S172,1,0,48,0,1,1554
S172,1,0,112,0,1,1013
S172,1,0,35,1,1,1516
S172,1,0,36,0,1,1334
S172,1,0,20,0,1,1079
S172,1,0,79,1,1,917
S172,1,0,63,0,1,1557
S172,1,0,23,0,1,1203
S172,1,0,72,0,1,2590
S172,1,0,69,0,1,1295
S172,1,0,84,1,1,1322
S172,1,0,5,1,1,1844
S172,1,0,73,1,1,2025
S172,1,0,57,1,1,1136
S172,1,0,40,1,0,1886
S172,1,0,16,0,0,1743
S172,1,0,99,1,1,1644
S172,1,0,117,0,1,1734
S172,1,0,21,0,1,920
S172,1,0,110,1,0,933
S172,1,0,37,0,0,1945
S172,1,0,78,0,1,1210
S172,1,0,26,1,1,1360
S172,1,0,113,1,1,1229
S172,1,0,32,1,0,814
S172,1,0,56,0,1,1008
S172,1,0,98,1,1,1561
S172,1,0,7,1,1,1176
S172,1,0,58,0,1,1222
S172,1,0,34,0,1,872
S172,1,0,105,1,1,1046
S172,1,0,29,0,1,1680
S172,1,0,2,1,1,991
S172,1,0,38,0,1,1133
S172,1,0,45,1,1,1176
S172,1,0,27,0,0,1008
S172,1,0,18,0,1,980
S172,1,0,62,1,1,1456
S172,1,0,92,1,1,1368
S172,1,0,93,1,1,1083
S172,1,0,11,1,1,2181
S172,1,0,77,1,0,2241
S172,1,0,50,1,1,1379
S172,1,0,97,1,1,1488
S172,1,0,54,0,1,2317
S172,1,0,22,1,1,1618
S172,1,0,101,1,1,2088
S172,1,0,111,0,1,2920
S172,1,0,118,1,1,1089
S172,1,0,43,1,1,950
S172,1,0,75,0,1,2318
S172,1,0,39,1,1,1212
S172,1,0,94,1,1,1117
S172,1,0,51,1,0,2881
S172,1,0,91,1,1,1672
S172,1,0,53,1,1,2529
S172,1,0,9,1,1,1372
S172,1,0,68,1,1,1287
S172,1,0,107,0,1,1353
S172,1,0,28,1,1,1578
S172,1,0,74,0,0,1989
S172,1,0,46,0,1,1126
S172,1,0,14,1,0,1672
S172,1,0,87,1,1,1746
S172,1,0,83,1,1,1109
S172,1,0,65,1,0,1905
S172,1,0,100,0,0,1592
S172,1,0,0,1,0,2500
S172,1,0,47,1,1,1447
S172,1,0,89,1,0,1150
S172,1,0,4,1,1,3393
S172,1,0,13,0,1,2174
S172,1,0,70,1,1,1060
S172,1,0,59,1,1,677
S172,1,0,10,0,1,1034
S172,1,0,86,0,0,1811
S172,1,0,30,0,1,925
S172,1,0,24,1,1,1408
S172,1,0,19,0,1,1152
S172,1,0,8,0,1,1182
S172,1,0,25,1,0,1237
S172,1,0,108,1,1,3428
S172,1,0,80,0,1,1431
S172,1,0,104,1,1,1344
S172,1,0,67,0,1,1133
S172,1,0,17,1,1,1605
S172,1,0,60,0,1,1840
S172,1,0,1,1,1,1259
S172,1,0,52,1,1,1470
S172,1,0,95,1,1,1678
S172,1,0,55,1,1,835
S172,1,0,44,1,1,1139
S172,1,0,76,0,1,1921
S172,1,0,106,0,1,2885
S172,1,0,66,0,1,1128
S172,1,0,12,0,1,2641
S172,1,0,109,1,1,2392
S172,1,0,102,0,0,721
S172,1,0,15,0,1,2212
S172,1,0,61,1,1,1448
S172,1,0,41,1,1,1846
S172,1,0,49,1,1,1578
S172,1,0,88,1,1,1352
S172,1,0,114,0,1,810
S72,1,1000,15,0,0,1039
S72,1,1000,107,0,1,520
S72,1,1000,13,1,1,477
S72,1,1000,72,1,1,506
S72,1,1000,79,0,1,283
S72,1,1000,119,0,1,239
S72,1,1000,102,0,1,298
S72,1,1000,26,1,1,521
S72,1,1000,110,0,0,509
S72,1,1000,62,1,1,679
S72,1,1000,56,1,1,289
S72,1,1000,40,1,1,445
